id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_139","Include","Include",[],"","heuristic",0.7896678966789668,118
"comm_86","Include","Include",[],"","heuristic",0.7641921397379913,59
"comm_216","Include","Include",[],"","heuristic",0.8983050847457628,58
"comm_201","Include","Include",[],"","heuristic",0.7186147186147186,56
"comm_56","App","App",[],"","heuristic",0.968421052631579,44
"comm_44","App","App",[],"","heuristic",0.6741573033707865,31
"comm_101","Include","Include",[],"","heuristic",0.6306306306306306,30
"comm_49","Include","Include",[],"","heuristic",0.9310344827586207,28
"comm_60","App","App",[],"","heuristic",0.46875,27
"comm_96","Include","Include",[],"","heuristic",0.8,27
"comm_184","Include","Include",[],"","heuristic",0.6904761904761905,27
"comm_189","Include","Include",[],"","heuristic",0.8503937007874016,27
"comm_138","Cluster_138","Cluster_138",[],"","heuristic",0.8431372549019608,26
"comm_206","Include","Include",[],"","heuristic",0.5656565656565656,24
"comm_174","Include","Include",[],"","heuristic",0.4631578947368421,22
"comm_302","Include","Include",[],"","heuristic",0.8433734939759037,22
"comm_34","Ui","Ui",[],"","heuristic",0.5970149253731343,21
"comm_73","Include","Include",[],"","heuristic",0.65625,21
"comm_230","Include","Include",[],"","heuristic",0.6470588235294118,21
"comm_309","Include","Include",[],"","heuristic",0.7088607594936709,21
"comm_89","Include","Include",[],"","heuristic",0.8333333333333334,17
"comm_112","Include","Include",[],"","heuristic",0.7142857142857143,17
"comm_251","Include","Include",[],"","heuristic",0.9180327868852459,17
"comm_79","Include","Include",[],"","heuristic",0.5263157894736842,16
"comm_95","Include","Include",[],"","heuristic",0.4166666666666667,16
"comm_295","Include","Include",[],"","heuristic",0.8,16
"comm_84","App","App",[],"","heuristic",0.8771929824561403,15
"comm_228","Include","Include",[],"","heuristic",0.6829268292682927,15
"comm_113","Include","Include",[],"","heuristic",0.625,14
"comm_304","Cluster_304","Cluster_304",[],"","heuristic",0.9230769230769231,14
"comm_317","Include","Include",[],"","heuristic",0.68,14
"comm_467","Cluster_467","Cluster_467",[],"","heuristic",1,14
"comm_197","Include","Include",[],"","heuristic",0.972972972972973,13
"comm_46","App","App",[],"","heuristic",0.8888888888888888,12
"comm_75","Include","Include",[],"","heuristic",0.8571428571428571,12
"comm_126","Js","Js",[],"","heuristic",1,12
"comm_136","Include","Include",[],"","heuristic",0.8484848484848485,12
"comm_273","Include","Include",[],"","heuristic",0.6875,12
"comm_385","Include","Include",[],"","heuristic",0.7647058823529411,12
"comm_87","Include","Include",[],"","heuristic",0.6666666666666666,11
"comm_98","Include","Include",[],"","heuristic",0.9285714285714286,11
"comm_149","Cluster_149","Cluster_149",[],"","heuristic",0.8235294117647058,11
"comm_178","Include","Include",[],"","heuristic",0.8888888888888888,11
"comm_259","Include","Include",[],"","heuristic",0.8,11
"comm_280","Include","Include",[],"","heuristic",0.5714285714285714,11
"comm_384","Include","Include",[],"","heuristic",0.8,11
"comm_399","Include","Include",[],"","heuristic",0.8461538461538461,11
"comm_70","App","App",[],"","heuristic",0.6153846153846154,10
"comm_85","App","App",[],"","heuristic",0.75,10
"comm_171","Include","Include",[],"","heuristic",0.75,10
"comm_194","Include","Include",[],"","heuristic",0.7692307692307693,10
"comm_199","Include","Include",[],"","heuristic",0.6896551724137931,10
"comm_215","Include","Include",[],"","heuristic",0.72,10
"comm_275","Include","Include",[],"","heuristic",0.7272727272727273,10
"comm_415","Include","Include",[],"","heuristic",0.8333333333333334,10
"comm_12","Include","Include",[],"","heuristic",0.6153846153846154,9
"comm_13","Ui","Ui",[],"","heuristic",0.75,9
"comm_45","App","App",[],"","heuristic",0.8,9
"comm_50","App","App",[],"","heuristic",0.6666666666666666,9
"comm_51","App","App",[],"","heuristic",0.782608695652174,9
"comm_62","App","App",[],"","heuristic",0.5161290322580645,9
"comm_64","App","App",[],"","heuristic",0.7142857142857143,9
"comm_65","App","App",[],"","heuristic",0.8,9
"comm_69","App","App",[],"","heuristic",0.6896551724137931,9
"comm_88","Include","Include",[],"","heuristic",0.8181818181818182,9
"comm_132","Include","Include",[],"","heuristic",0.782608695652174,9
"comm_162","Include","Include",[],"","heuristic",0.6285714285714286,9
"comm_172","Include","Include",[],"","heuristic",0.9090909090909091,9
"comm_179","Include","Include",[],"","heuristic",0.5161290322580645,9
"comm_183","Include","Include",[],"","heuristic",0.5161290322580645,9
"comm_211","Include","Include",[],"","heuristic",0.6153846153846154,9
"comm_270","Cluster_270","Cluster_270",[],"","heuristic",1,9
"comm_294","Include","Include",[],"","heuristic",0.6666666666666666,9
"comm_306","Include","Include",[],"","heuristic",0.6666666666666666,9
"comm_382","Include","Include",[],"","heuristic",0.5161290322580645,9
"comm_47","App","App",[],"","heuristic",0.7,8
"comm_55","App","App",[],"","heuristic",0.875,8
"comm_58","App","App",[],"","heuristic",1,8
"comm_142","Include","Include",[],"","heuristic",0.6428571428571429,8
"comm_160","Include","Include",[],"","heuristic",0.7777777777777778,8
"comm_163","Include","Include",[],"","heuristic",0.6666666666666666,8
"comm_165","Cluster_165","Cluster_165",[],"","heuristic",0.7586206896551724,8
"comm_214","Include","Include",[],"","heuristic",0.6666666666666666,8
"comm_231","Include","Include",[],"","heuristic",0.5555555555555556,8
"comm_236","Include","Include",[],"","heuristic",0.6086956521739131,8
"comm_250","Include","Include",[],"","heuristic",0.8421052631578947,8
"comm_299","Include","Include",[],"","heuristic",0.7586206896551724,8
"comm_300","Include","Include",[],"","heuristic",0.72,8
"comm_475","Klogg","Klogg",[],"","heuristic",0.7586206896551724,8
"comm_11","Unit","Unit",[],"","heuristic",1,7
"comm_22","Ui","Ui",[],"","heuristic",0.9230769230769231,7
"comm_31","Ui","Ui",[],"","heuristic",0.6666666666666666,7
"comm_32","Ui","Ui",[],"","heuristic",0.8,7
"comm_38","Include","Include",[],"","heuristic",0.6363636363636364,7
"comm_57","App","App",[],"","heuristic",0.9333333333333333,7
"comm_90","Include","Include",[],"","heuristic",0.8571428571428571,7
"comm_97","Include","Include",[],"","heuristic",0.7272727272727273,7
"comm_123","Include","Include",[],"","heuristic",0.9230769230769231,7
"comm_133","Cluster_133","Cluster_133",[],"","heuristic",1,7
"comm_152","Include","Include",[],"","heuristic",0.75,7
"comm_153","Include","Include",[],"","heuristic",0.6363636363636364,7
