id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_updatedata","UpdateData → IsVisible","UpdateData → IsVisible","cross_community",7,"['comm_309','comm_318','comm_319','comm_81']","Method:src/ui/src/abstractlogview.cpp:updateData#0","Method:src/ui/include/overview.h:Overview.isVisible#0"
"proc_1_registerselector","RegisterSelector → DoGetActiveSearchable","RegisterSelector → DoGetActiveSearchable","cross_community",7,"['comm_175','comm_177','comm_178']","Method:src/ui/src/quickfindmux.cpp:registerSelector#1","Method:src/ui/include/quickfindmux.h:QuickFindMuxSelectorInterface.doGetActiveSearchable#0"
"proc_2_updatedata","UpdateData → LinesCount","UpdateData → LinesCount","cross_community",6,"['comm_309','comm_318']","Method:src/ui/src/abstractlogview.cpp:updateData#0","Struct:src/logdata/include/linetypes.h:LinesCount"
"proc_3_updatedata","UpdateData → WrappedLinesCount","UpdateData → WrappedLinesCount","cross_community",6,"['comm_309','comm_318']","Method:src/ui/src/abstractlogview.cpp:updateData#0","Method:src/ui/include/wrappedstring.h:WrappedString.wrappedLinesCount#0"
"proc_4_predefinedfilterscom","PredefinedFiltersComboBox → DoSetData","PredefinedFiltersComboBox → DoSetData","cross_community",5,"['comm_204','comm_153']","Method:src/ui/src/predefinedfilterscombobox.cpp:PredefinedFiltersComboBox#1","Method:src/ui/include/viewinterface.h:ViewInterface.doSetData#2"
"proc_5_previewmessagetab","PreviewMessageTab → All","PreviewMessageTab → All","cross_community",5,"['comm_193','comm_194']","Method:src/ui/src/previewmessagetab.cpp:PreviewMessageTab#4","Method:src/ui/include/previewmanager.h:PreviewManager.all#0"
"proc_6_previewmessagetab","PreviewMessageTab → ShowMessage","PreviewMessageTab → ShowMessage","cross_community",5,"['comm_193','comm_194']","Method:src/ui/src/previewmessagetab.cpp:PreviewMessageTab#4","Method:src/ui/src/previewmessagetab.cpp:showMessage#1"
"proc_7_previewmessagetab","PreviewMessageTab → FindFirstMatchingEnabledPreview","PreviewMessageTab → FindFirstMatchingEnabledPreview","cross_community",5,"['comm_193','comm_194']","Method:src/ui/src/previewmessagetab.cpp:PreviewMessageTab#4","Method:src/ui/include/previewmanager.h:PreviewManager.findFirstMatchingEnabledPreview#1"
"proc_8_previewmessagetab","PreviewMessageTab → FindByName","PreviewMessageTab → FindByName","cross_community",5,"['comm_193','comm_194','comm_189']","Method:src/ui/src/previewmessagetab.cpp:PreviewMessageTab#4","Method:src/ui/include/previewmanager.h:PreviewManager.findByName#1"
"proc_9_remapstreamsessionpa","RemapStreamSessionPath → GetPersistable","RemapStreamSessionPath → GetPersistable","cross_community",5,"['comm_113','comm_112','comm_79']","Method:src/ui/src/tabbedcrawlerwidget.cpp:remapStreamSessionPath#2","Method:src/settings/include/persistable.h:Persistable.getPersistable#1"
