from,to,type,confidence,reason,step
"Class:tests/ui/qtests_main.cpp:TestRunner","comm_12","MEMBER_OF",1,"leiden-algorithm",0
"Class:tests/ui/logdata_test.cpp:WriteFileThread","comm_25","MEMBER_OF",1,"leiden-algorithm",0
"Class:tests/helpers/test_utils.h:SafeQSignalSpy","comm_43","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/app/messagereceiver.h:MessageReceiver","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/app/main.cpp:StartupSplashScreen","comm_52","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/app/labcontrollerservice.h:QTcpServer","comm_59","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/app/labcontrollerservice.h:LabControllerService","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/app/labclient.h:LabClient","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/app/labagentrunner.h:QTcpSocket","comm_67","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/app/labagentrunner.h:LabAgentRunner","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/app/kloggapp.h:KloggApp","comm_68","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/versioncheck/include/versionchecker.h:VersionChecker","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:3rdparty/dump_syms/package_syms.py:ProcError","comm_124","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/src/scratchpad.cpp:DateTimeBox","comm_145","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/src/responseeditdialog.cpp:ResponseActionStepDialog","comm_166","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox","comm_199","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/src/predefinedfilterscombobox.cpp:QCheckListStyledItemDelegate","comm_204","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/src/importactionsdialog.cpp:ActionsImportTableModel","comm_252","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/src/importactionsdialog.cpp:ResponsesImportTableModel","comm_252","MEMBER_OF",1,"leiden-algorithm",0
