from,to,type,confidence,reason,step
"Function:src/ui/src/actionsconfig.cpp:actionDefinitionFromVariantMap","proc_11_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",1
"Function:src/ui/src/actionsconfig.cpp:validateActionDefinition","proc_11_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/ui/src/actionsconfig.cpp:actionDefinitionToBytes","proc_11_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/ui/src/actionsconfig.cpp:applyChecksum","proc_11_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/ui/src/actionsconfig.cpp:setError","proc_11_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",5
"Function:src/ui/src/actionsconfig.cpp:actionDefinitionFromVariantMap","proc_12_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",1
"Function:src/ui/src/actionsconfig.cpp:validateActionDefinition","proc_12_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/ui/src/actionsconfig.cpp:actionDefinitionToBytes","proc_12_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/ui/src/actionsconfig.cpp:applyChecksum","proc_12_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/ui/src/actionsconfig.cpp:bytesToHexString","proc_12_actiondefinitionfrom","STEP_IN_PROCESS",1,"trace-detection",5
"Function:src/utils/include/clipboard.h:sendTextToClipboard","proc_21_scratchpad","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/utils/include/clipboard.h:sendTextToClipboard","proc_22_abstractlogview","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/app/scenarioheadlessrunner.cpp:loadSuiteDefinition","proc_25_run","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/app/scenarioheadlessrunner.cpp:parseComSettings","proc_25_run","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/app/scenarioheadlessrunner.cpp:optionalString","proc_25_run","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/app/scenarioheadlessrunner.cpp:loadSuiteDefinition","proc_26_run","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/app/scenarioheadlessrunner.cpp:parseComSettings","proc_26_run","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/app/scenarioheadlessrunner.cpp:optionalInt","proc_26_run","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/app/scenarioheadlessrunner.cpp:loadSuiteDefinition","proc_27_run","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/app/scenarioheadlessrunner.cpp:parseComSettings","proc_27_run","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/app/scenarioheadlessrunner.cpp:parseDataBitsValue","proc_27_run","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/ui/src/mainwindow.cpp:showComPortMessage","proc_28_startnewstreamfilefo","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/ui/src/mainwindow.cpp:applicationHasMethod","proc_35_reloadsession","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/crash_handler/src/crashhandler.cpp:checkCrashpadReports","proc_42_crashhandler","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/crash_handler/src/crashhandler.cpp:isReportAlreadyProcessed","proc_42_crashhandler","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/crash_handler/src/crashhandler.cpp:processedReportMarkerPath","proc_42_crashhandler","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/crash_handler/src/crashhandler.cpp:checkCrashpadReports","proc_43_crashhandler","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/crash_handler/src/crashhandler.cpp:askUserConfirmation","proc_43_crashhandler","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/utils/include/openfilehelper.h:showPathInFileExplorer","proc_43_crashhandler","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/crash_handler/src/crashhandler.cpp:checkCrashpadReports","proc_44_crashhandler","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/crash_handler/src/crashhandler.cpp:askUserConfirmation","proc_44_crashhandler","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/regex/src/regularexpression.cpp:parseBooleanExpressions","proc_47_regularexpression","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/regex/src/regularexpression.cpp:parseBooleanExpressions","proc_48_regularexpression","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/app/python_runtime/scenario_bootstrap.py:main","proc_59_main","STEP_IN_PROCESS",1,"trace-detection",1
"Function:src/app/python_runtime/scenario_bootstrap.py:_run_single_scenario","proc_59_main","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/app/python_runtime/scenario_bootstrap.py:_run_scenario_file","proc_59_main","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/app/python_runtime/scenario_bootstrap.py:_load_json_file","proc_59_main","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/app/python_runtime/scenario_bootstrap.py:main","proc_60_main","STEP_IN_PROCESS",1,"trace-detection",1
"Function:src/app/python_runtime/scenario_bootstrap.py:_run_single_scenario","proc_60_main","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/app/python_runtime/scenario_bootstrap.py:_summarize_report","proc_60_main","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/app/python_runtime/scenario_bootstrap.py:_utc_now","proc_60_main","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/app/python_runtime/scenario_bootstrap.py:main","proc_61_main","STEP_IN_PROCESS",1,"trace-detection",1
"Function:src/app/python_runtime/scenario_bootstrap.py:_run_single_scenario","proc_61_main","STEP_IN_PROCESS",1,"trace-detection",2
"Function:src/app/python_runtime/scenario_bootstrap.py:_summarize_report","proc_61_main","STEP_IN_PROCESS",1,"trace-detection",3
"Function:src/app/python_runtime/scenario_bootstrap.py:_load_device_bindings","proc_61_main","STEP_IN_PROCESS",1,"trace-detection",4
"Function:src/ui/src/scriptsupervisor.cpp:scriptRunStateToString","proc_62_scriptstatus","STEP_IN_PROCESS",1,"trace-detection",4
