from,to,type,confidence,reason,step
"Function:src/app/python_runtime/klogg/test.py:_finalize_success","Variable:src/app/python_runtime/klogg/test.py:finished_at","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:_finalize_success","Variable:src/app/python_runtime/klogg/test.py:status","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:_finalize_skip","Variable:src/app/python_runtime/klogg/test.py:finished_at","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:_finalize_skip","Variable:src/app/python_runtime/klogg/test.py:status","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:_finalize_skip","Variable:src/app/python_runtime/klogg/test.py:error","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:_finalize_failure","Variable:src/app/python_runtime/klogg/test.py:finished_at","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:_finalize_failure","Variable:src/app/python_runtime/klogg/test.py:status","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:_finalize_failure","Variable:src/app/python_runtime/klogg/test.py:error","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:_finalize_failure","Variable:src/app/python_runtime/klogg/test.py:traceback","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:scenario","Variable:src/app/python_runtime/klogg/test.py:name","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:scenario","Variable:src/app/python_runtime/klogg/test.py:tags","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:step","Variable:src/app/python_runtime/klogg/test.py:status","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:step","Variable:src/app/python_runtime/klogg/test.py:error","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:step","Variable:src/app/python_runtime/klogg/test.py:finished_at","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:step","Variable:src/app/python_runtime/klogg/test.py:status","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:step","Variable:src/app/python_runtime/klogg/test.py:error","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:step","Variable:src/app/python_runtime/klogg/test.py:finished_at","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:step","Variable:src/app/python_runtime/klogg/test.py:status","ACCESSES",1,"write",0
"Function:src/app/python_runtime/klogg/test.py:step","Variable:src/app/python_runtime/klogg/test.py:finished_at","ACCESSES",1,"write",0
