from,to,type,confidence,reason,step
"Method:src/app/labcontrollerservice.cpp:LabControllerService","Class:src/app/labcontrollerservice.h:QTcpServer","CALLS",0.9,"import-resolved",0
"Method:src/app/labagentrunner.cpp:LabAgentRunner","Class:src/app/labagentrunner.h:QTcpSocket","CALLS",0.9,"import-resolved",0
"Method:src/app/labagentrunner.cpp:start","Class:src/crash_handler/include/crashhandler.h:QTimer","CALLS",0.9,"import-resolved",0
"Method:src/app/kloggapp.h:KloggApp.setAutomationMode#3","Class:src/ui/include/menu.h:QPoint","CALLS",0.5,"global",0
"Method:src/app/kloggapp.h:KloggApp.newWindow#1","Class:src/ui/include/mainwindow.h:MainWindow","CALLS",0.9,"import-resolved",0
"Method:src/app/kloggapp.h:KloggApp.applyStartupBootstrapGeometry#1","Class:src/ui/include/menu.h:QPoint","CALLS",0.5,"global",0
"Method:src/ui/src/tabbedscratchpad.cpp:addTab","Class:src/ui/include/scratchpad.h:ScratchPad","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/streamsession.cpp:setupWorker","Class:src/ui/include/serialcaptureworker.h:SerialCaptureWorker","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scriptrunnerwindow.cpp:ScriptRunnerWindow","Class:src/ui/include/scriptrunnerwindow.h:QLineEdit","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scriptrunnerwindow.cpp:ScriptRunnerWindow","Class:src/ui/include/scriptrunnerwindow.h:QListWidget","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scriptrunnerwindow.cpp:ScriptRunnerWindow","Class:src/ui/include/scriptrunnerwindow.h:QLabel","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scriptrunnerwindow.cpp:ScriptRunnerWindow","Class:src/ui/include/scriptrunnerwindow.h:QPlainTextEdit","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scriptrunnerwindow.cpp:ScriptRunnerWindow","Class:src/ui/include/scriptrunnerwindow.h:QPushButton","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scriptrunnerwindow.cpp:ScriptRunnerWindow","Class:src/ui/include/quickfindwidget.h:QHBoxLayout","CALLS",0.5,"global",0
"Method:src/ui/src/scriptrunnerwindow.cpp:refreshFromSupervisor","Class:src/ui/include/scenariorunnerwindow.h:QListWidgetItem","CALLS",0.5,"global",0
"Method:src/ui/src/scratchpad.cpp:DateTimeBox::DateTimeBox","Class:src/ui/include/scratchpad.h:QLineEdit","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scenariorunnerwindow.cpp:ScenarioRunnerWindow","Class:src/ui/include/scenariorunnerwindow.h:QLineEdit","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scenariorunnerwindow.cpp:ScenarioRunnerWindow","Class:src/ui/include/scenariorunnerwindow.h:QListWidget","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scenariorunnerwindow.cpp:ScenarioRunnerWindow","Class:src/ui/include/scenariorunnerwindow.h:QLabel","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scenariorunnerwindow.cpp:ScenarioRunnerWindow","Class:src/ui/include/scenariorunnerwindow.h:QPlainTextEdit","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scenariorunnerwindow.cpp:ScenarioRunnerWindow","Class:src/ui/include/scenariorunnerwindow.h:QPushButton","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scenariorunnerwindow.cpp:ScenarioRunnerWindow","Class:src/ui/include/quickfindwidget.h:QHBoxLayout","CALLS",0.5,"global",0
"Method:src/ui/src/scenariorunnerwindow.cpp:addSuiteScenario","Class:src/ui/include/scenariorunnerwindow.h:QListWidgetItem","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scenariorunnerwindow.cpp:loadSuiteFile","Class:src/ui/include/scenariorunnerwindow.h:QListWidgetItem","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/scenariorunner.cpp:ScenarioRunner","Class:src/app/labcontrollerservice.h:QTcpServer","CALLS",0.5,"global",0
