from,to,type,confidence,reason,step
"Method:tests/ui/qtests_main.cpp:TestRunner.result#0","comm_13","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/qtests_main.cpp:TestRunner.process#0","comm_12","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/mainwindow_test.cpp:MinimizeToTrayRestoreGuard.MinimizeToTrayRestoreGuard#1","comm_14","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/mainwindow_test.cpp:StartupProgressRecorder.record#1","comm_15","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/mainwindow_test.cpp:StartupProgressRecorder.snapshot#0","comm_16","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/logfiltereddata_test.cpp:LogDataLoader.LogDataLoader#0","comm_22","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/logdata_test.cpp:WriteFileThread.isSucceeded#0","comm_25","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.isLoadingFinished#0","comm_27","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.getLogNbLines#0","comm_28","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.getLogFilteredNbLines#0","comm_29","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.selectAllInMainView#0","comm_30","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.selectAllInFilteredView#0","comm_30","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.mainViewSelectedText#0","comm_31","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.filteredViewSelectedText#0","comm_31","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.setSearchPattern#1","comm_32","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.clearSearchPattern#0","comm_32","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.setAutoRefresh#1","comm_32","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.setViewContextLazy#1","comm_33","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.enableCaseSensitiveSearch#0","comm_34","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.enableRegexSearch#0","comm_34","MEMBER_OF",1,"leiden-algorithm",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.enableInverseMatch#0","comm_34","MEMBER_OF",1,"leiden-algorithm",0
