from,to,type,confidence,reason,step
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.clearSearchPattern#0","Function:tests/helpers/test_utils.h:waitUiState","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.setAutoRefresh#1","Function:tests/helpers/test_utils.h:waitUiState","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.runSearch#0","Function:tests/helpers/test_utils.h:waitUiState","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.enableTextWrap#0","Function:tests/helpers/test_utils.h:waitUiState","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.disableTextWrap#0","Function:tests/helpers/test_utils.h:waitUiState","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.focusFilteredView#0","Function:tests/helpers/test_utils.h:waitUiState","CALLS",0.9,"import-resolved",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:loadSuiteDefinition","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:loadDeviceMap","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:settingsToVariantMap","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:mergeSettings","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:sanitizePathPart","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:buildDeviceBindingPayload","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:buildHeadlessFailureReport","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:writeJsonReport","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:writeJunitFailureReport","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Function:src/app/scenarioheadlessrunner.cpp:isTerminalScenarioState","CALLS",0.95,"same-file",0
"Method:src/app/messagereceiver.h:MessageReceiver.receiveMessage#1","Function:src/klogg_version/include/klogg_version.h:kloggVersion","CALLS",0.9,"import-resolved",0
"Method:src/app/messagereceiver.h:MessageReceiver.handleCommandMessage#2","Function:src/ui/include/commander.h:commanderRequestFromVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/messagereceiver.h:MessageReceiver.writeFailureResult#2","Function:src/ui/include/commander.h:commanderFailure","CALLS",0.9,"import-resolved",0
"Method:src/app/messagereceiver.h:MessageReceiver.writeFailureResult#2","Function:src/ui/include/commander.h:writeCommanderResult","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:stop","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:cancelJob","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:cancelJob","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:cancelJob","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:insertOrUpdateAgent","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:insertOrUpdateAgent","Function:src/app/labcontrollerservice.cpp:variantListToJson","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:insertOrUpdateAgent","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:insertOrUpdateAgent","Function:src/app/labcontrollerservice.cpp:variantMapToJson","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:insertOrUpdateAgent","Function:src/app/labtypes.h:labAgentConfigToVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:insertOrUpdateAgent","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:updateAgentHeartbeat","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:updateAgentHeartbeat","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:updateAgentHeartbeat","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:updateAgentStatus","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:updateAgentStatus","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:updateAgentStatus","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:jobPayloadById","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:jobPayloadById","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:jobPayloadById","Function:src/app/labcontrollerservice.cpp:queryRowToMap","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Function:src/app/labcontrollerservice.cpp:variantMapToJson","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Function:src/app/labtypes.h:labJobBundleToVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Function:src/app/labcontrollerservice.cpp:variantListToJson","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:eligibleBindings","Function:src/app/labtypes.h:labResolvedBindingToVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Function:src/app/labtypes.h:labJobBundleFromVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Function:src/app/labcontrollerservice.cpp:jsonToVariantMap","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Function:src/app/labcontrollerservice.cpp:variantListToJson","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:assignJobToAgent","Function:src/app/labtypes.h:labJobBundleToVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:scheduleJobs","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:scheduleJobs","Function:src/app/labcontrollerservice.cpp:queryRowToMap","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:scheduleJobs","Function:src/app/labtypes.h:labJobBundleFromVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:scheduleJobs","Function:src/app/labcontrollerservice.cpp:jsonToVariantMap","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:scheduleJobs","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:scheduleJobs","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:queueSnapshotUnlocked","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:agentsSnapshotUnlocked","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:agentsSnapshotUnlocked","Function:src/app/labcontrollerservice.cpp:jsonToVariantList","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:agentsSnapshotUnlocked","Function:src/app/labcontrollerservice.cpp:jsonToVariantMap","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:jobStatusUnlocked","Function:src/app/labcontrollerservice.cpp:jsonToVariantList","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:jobStatusUnlocked","Function:src/app/labcontrollerservice.cpp:jsonToVariantMap","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:loadBundlePayload","Function:src/app/labcontrollerservice.cpp:jsonToVariantMap","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:sendJsonResponse","Function:src/app/labcontrollerservice.cpp:httpReasonPhrase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:handleHttpConnection","Function:src/app/labcontrollerservice.cpp:requestIsComplete","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Function:src/app/labcontrollerservice.cpp:parseJsonBody","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Function:src/app/labtypes.h:labJobBundleFromVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:handleAgentDisconnected","Function:src/app/labcontrollerservice.cpp:controllerDatabase","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:handleAgentDisconnected","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:handleAgentDisconnected","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Function:src/app/labtypes.h:labAgentConfigFromVariantMap","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Function:src/app/labcontrollerservice.cpp:nowUtcString","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Function:src/app/labcontrollerservice.cpp:variantListToJson","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Function:src/app/labcontrollerservice.cpp:execQuery","CALLS",0.95,"same-file",0
