from,to,type,confidence,reason,step
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.selectAllInMainView#0","Method:src/ui/include/crawlerwidget.h:CrawlerWidget.selectAll#0","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.selectAllInFilteredView#0","Method:src/ui/include/crawlerwidget.h:CrawlerWidget.selectAll#0","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.mainViewSelectedText#0","Method:src/ui/include/crawlerwidget.h:CrawlerWidget.getSelectedText#0","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.filteredViewSelectedText#0","Method:src/ui/include/crawlerwidget.h:CrawlerWidget.getSelectedText#0","CALLS",0.9,"import-resolved",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.setSearchPattern#1","Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.clearSearchPattern#0","CALLS",0.95,"same-file",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.setAutoRefresh#1","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.setViewContextLazy#1","Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.setViewContextLazy#1","CALLS",0.95,"same-file",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.enableCaseSensitiveSearch#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.enableRegexSearch#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.enableInverseMatch#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.enableBooleanCombinationMode#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.disableBooleanCombinationMode#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.disableBooleanCombinationMode#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.setChecked#1","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.isCaseSensitiveSearchEnabled#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.isRegexSearchEnabled#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.isInverseMatchEnabled#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.isBooleanCombinationModeEnabled#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.isAutoRefreshEnabled#0","Method:src/ui/src/predefinedfiltersdialog.cpp:CenteredCheckbox.isChecked#0","CALLS",0.5,"global",0
