from,to,type,confidence,reason,step
"Method:src/ui/src/abstractlogview.cpp:updateData#0","proc_0_updatedata","STEP_IN_PROCESS",1,"trace-detection",1
"Method:src/ui/src/abstractlogview.cpp:updateScrollBars#0","proc_0_updatedata","STEP_IN_PROCESS",1,"trace-detection",2
"Method:src/ui/src/abstractlogview.cpp:getNbBottomWrappedVisibleLines#0","proc_0_updatedata","STEP_IN_PROCESS",1,"trace-detection",3
"Method:src/ui/src/abstractlogview.cpp:visualRowsForRange#2","proc_0_updatedata","STEP_IN_PROCESS",1,"trace-detection",4
"Method:src/ui/src/abstractlogview.cpp:visualRowsForLine#1","proc_0_updatedata","STEP_IN_PROCESS",1,"trace-detection",5
"Method:src/ui/src/abstractlogview.cpp:getNbVisibleCols#0","proc_0_updatedata","STEP_IN_PROCESS",1,"trace-detection",6
"Method:src/ui/include/overview.h:Overview.isVisible#0","proc_0_updatedata","STEP_IN_PROCESS",1,"trace-detection",7
"Method:src/ui/src/quickfindmux.cpp:registerSelector#1","proc_1_registerselector","STEP_IN_PROCESS",1,"trace-detection",1
"Method:src/ui/src/quickfindmux.cpp:registerSearchable#1","proc_1_registerselector","STEP_IN_PROCESS",1,"trace-detection",2
"Method:src/ui/src/quickfindmux.cpp:searchNext#0","proc_1_registerselector","STEP_IN_PROCESS",1,"trace-detection",3
"Method:src/ui/src/quickfindmux.cpp:searchForward#0","proc_1_registerselector","STEP_IN_PROCESS",1,"trace-detection",4
"Method:src/ui/src/quickfindmux.cpp:getSearchableWidget#0","proc_1_registerselector","STEP_IN_PROCESS",1,"trace-detection",5
"Method:src/ui/include/quickfindmux.h:QuickFindMuxSelectorInterface.getActiveSearchable#0","proc_1_registerselector","STEP_IN_PROCESS",1,"trace-detection",6
"Method:src/ui/include/quickfindmux.h:QuickFindMuxSelectorInterface.doGetActiveSearchable#0","proc_1_registerselector","STEP_IN_PROCESS",1,"trace-detection",7
"Method:src/ui/src/abstractlogview.cpp:updateData#0","proc_2_updatedata","STEP_IN_PROCESS",1,"trace-detection",1
"Method:src/ui/src/abstractlogview.cpp:updateScrollBars#0","proc_2_updatedata","STEP_IN_PROCESS",1,"trace-detection",2
"Method:src/ui/src/abstractlogview.cpp:getNbBottomWrappedVisibleLines#0","proc_2_updatedata","STEP_IN_PROCESS",1,"trace-detection",3
"Method:src/ui/src/abstractlogview.cpp:visualRowsForRange#2","proc_2_updatedata","STEP_IN_PROCESS",1,"trace-detection",4
"Method:src/ui/src/abstractlogview.cpp:visualRowsForLine#1","proc_2_updatedata","STEP_IN_PROCESS",1,"trace-detection",5
"Method:src/ui/src/abstractlogview.cpp:updateData#0","proc_3_updatedata","STEP_IN_PROCESS",1,"trace-detection",1
"Method:src/ui/src/abstractlogview.cpp:updateScrollBars#0","proc_3_updatedata","STEP_IN_PROCESS",1,"trace-detection",2
"Method:src/ui/src/abstractlogview.cpp:getNbBottomWrappedVisibleLines#0","proc_3_updatedata","STEP_IN_PROCESS",1,"trace-detection",3
"Method:src/ui/src/abstractlogview.cpp:visualRowsForRange#2","proc_3_updatedata","STEP_IN_PROCESS",1,"trace-detection",4
