from,to,type,confidence,reason,step
"Method:src/app/scenarioheadlessrunner.cpp:run","Property:src/app/scenariobatchrequest.h:ScenarioBatchRequest.suiteFilePath","ACCESSES",1,"read",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Property:src/app/scenariobatchrequest.h:ScenarioBatchRequest.scenarioFilePath","ACCESSES",1,"read",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Property:src/app/scenariobatchrequest.h:ScenarioBatchRequest.argsJsonFilePath","ACCESSES",1,"read",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Property:src/app/scenarioheadlessrunner.h:Result.payload","ACCESSES",1,"read",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Property:src/app/scenariobatchrequest.h:ScenarioBatchRequest.reportDirPath","ACCESSES",1,"read",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Property:src/app/scenarioheadlessrunner.cpp:ResolvedDeviceBinding.settings","ACCESSES",1,"read",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Property:src/ui/include/commander.h:CommanderComSettings.portName","ACCESSES",1,"read",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Property:src/app/scenarioheadlessrunner.cpp:ResolvedDeviceBinding.tabId","ACCESSES",1,"read",0
"Method:src/app/labcontrollerservice.cpp:eligibleBindings","Property:src/app/labtypes.h:LabJobBundle.logicalDevices","ACCESSES",1,"read",0
"Method:src/app/labcontrollerservice.cpp:eligibleBindings","Property:src/app/labtypes.h:LabAgentConfig.ports","ACCESSES",1,"read",0
"Method:src/app/labcontrollerservice.cpp:eligibleBindings","Property:src/app/labtypes.h:LabAgentPortDefinition.capabilityTags","ACCESSES",1,"read",0
"Method:src/app/labcontrollerservice.cpp:eligibleBindings","Property:src/app/labtypes.h:LabResolvedBinding.settings","ACCESSES",1,"read",0
"Method:src/app/labcontrollerservice.cpp:eligibleBindings","Property:src/ui/include/commander.h:CommanderComSettings.portName","ACCESSES",1,"read",0
