from,to,type,confidence,reason,step
"Method:src/app/labcontrollerservice.cpp:handleAgentConnection","Struct:src/app/labcontrollerservice.h:AgentConnectionState","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/mainwindow.cpp:handleLoadingFinished","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/mainwindow.cpp:handleLoadingFinished","Struct:src/logdata/include/linetypes.h:LineColumn","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/mainwindow.cpp:handleLoadingFinished","Struct:src/logdata/include/linetypes.h:LineLength","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/filteredview.cpp:maxDisplayLineNumber","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:goToLine","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:applyViewContext","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:loadingFinishedHandler","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:clearSearchLimits","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/crawlerwidget.cpp:replaceCurrentSearch","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:mouseMoveEvent","Struct:src/logdata/include/linetypes.h:LineLength","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:moveSelectionUp","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:moveSelectionDown","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:doRegisterShortcuts","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:verticalScrollToLineNumber","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:paintEvent","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:maxDisplayLineNumber","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:getViewPosition","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:saveLinesToFile","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:setSearchEnd","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:updateData","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:selectAll","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:jumpToLine","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:getNbVisibleLines","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:convertCoordToFilePos","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:convertCoordToFilePos","Struct:src/logdata/include/linetypes.h:LineColumn","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:moveSelection","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:maxLineLength","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:drawTextArea","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:visualRowsForLine","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/include/overview.h:Overview.updateCurrentPosition#2","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddataworker.cpp:clear","Struct:src/logdata/include/linetypes.h:LineLength","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddataworker.cpp:clear","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddataworker.cpp:doSearch","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddataworker.cpp:doSearch","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:runSearch","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:runSearch","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:updateSearch","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getNbMatches","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getNbMarks","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:iterateOverLines","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getMarkAfter","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getMarkBefore","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:updateMaxLengthMarks","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getMarks","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:handleSearchProgressed","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:findLogDataLine","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:findFilteredLine","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:doGetLines","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:doGetNbLine","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:getNbLines","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
