from,to,type,confidence,reason,step
"Struct:src/logdata/include/linetypes.h:LinesCount","proc_2_updatedata","STEP_IN_PROCESS",1,"trace-detection",6
"Struct:src/logdata/include/linetypes.h:LinesCount","proc_15_selectportionanddisp","STEP_IN_PROCESS",1,"trace-detection",5
"Struct:src/logdata/include/linetypes.h:LineNumber","proc_36_loadingfinishedhandl","STEP_IN_PROCESS",1,"trace-detection",4
"Struct:src/logdata/include/linetypes.h:LineNumber","proc_55_doregistershortcuts","STEP_IN_PROCESS",1,"trace-detection",4
"Struct:src/logdata/include/linetypes.h:LineNumber","proc_97_dogetlines","STEP_IN_PROCESS",1,"trace-detection",4
"Struct:src/logdata/include/linetypes.h:LineNumber","proc_171_mousepressevent","STEP_IN_PROCESS",1,"trace-detection",3
"Struct:src/logdata/include/linetypes.h:LinesCount","proc_224_doregistershortcuts","STEP_IN_PROCESS",1,"trace-detection",3
"Struct:src/logdata/include/linetypes.h:LineNumber","proc_245_handlesearchprogress","STEP_IN_PROCESS",1,"trace-detection",3
"Struct:src/logdata/include/linetypes.h:LinesCount","proc_275_scrollcontentsby","STEP_IN_PROCESS",1,"trace-detection",3
"Struct:src/logdata/include/linetypes.h:LineNumber","proc_276_scrollcontentsby","STEP_IN_PROCESS",1,"trace-detection",3
"Struct:src/logdata/include/linetypes.h:LineLength","proc_278_search","STEP_IN_PROCESS",1,"trace-detection",3
"Struct:src/logdata/include/linetypes.h:LinesCount","proc_279_search","STEP_IN_PROCESS",1,"trace-detection",3
"Struct:src/logdata/include/linetypes.h:LineLength","proc_280_updatesearch","STEP_IN_PROCESS",1,"trace-detection",3
"Struct:src/logdata/include/linetypes.h:LinesCount","proc_281_updatesearch","STEP_IN_PROCESS",1,"trace-detection",3
