from,to,type,confidence,reason,step
"Folder:website","File:website/config.toml","CONTAINS",1,"",0
"Folder:website","File:website/CMakeLists.txt","CONTAINS",1,"",0
"Folder:tools","File:tools/run-clang-tidy.py","CONTAINS",1,"",0
"Folder:tools","File:tools/gen_big_file.cpp","CONTAINS",1,"",0
"Folder:tools","File:tools/genlogs.sh","CONTAINS",1,"",0
"Folder:tests","File:tests/CMakeLists.txt","CONTAINS",1,"",0
"Folder:src","File:src/CMakeLists.txt","CONTAINS",1,"",0
"Folder:scripts","File:scripts/validate_release_windows.ps1","CONTAINS",1,"",0
"Folder:scripts","File:scripts/validate_release_macos.sh","CONTAINS",1,"",0
"Folder:scripts","File:scripts/validate_release_linux.sh","CONTAINS",1,"",0
"Folder:scripts","File:scripts/release_stats.py","CONTAINS",1,"",0
"Folder:scripts","File:scripts/gen_changelog.py","CONTAINS",1,"",0
"Folder:schemas","File:schemas/klogg-previews.schema.json","CONTAINS",1,"",0
"Folder:schemas","File:schemas/actions.schema.json","CONTAINS",1,"",0
"Folder:packaging","File:packaging/description.txt","CONTAINS",1,"",0
"Folder:doc","File:doc/previews.md","CONTAINS",1,"",0
"Folder:config","File:config/preview_example.json","CONTAINS",1,"",0
"Folder:config","File:config/preview_EHCP.json","CONTAINS",1,"",0
"Folder:config","File:config/preview_EHCI.json","CONTAINS",1,"",0
"Folder:config","File:config/preview_AT.json","CONTAINS",1,"",0
"Folder:config","File:config/previews.example.json","CONTAINS",1,"",0
"Folder:config","File:config/highlights.conf","CONTAINS",1,"",0
"Folder:config","File:config/Communication Sniffer Filters.conf","CONTAINS",1,"",0
"Folder:config","File:config/actions_example.json","CONTAINS",1,"",0
"Folder:config","File:config/actions.json","CONTAINS",1,"",0
"Folder:cmake","File:cmake/win32_rc.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/version_resource.rc.in","CONTAINS",1,"",0
"Folder:cmake","File:cmake/version_info.h.in","CONTAINS",1,"",0
"Folder:cmake","File:cmake/ucm.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/TranslationUtils.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/StaticAnalyzers.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/StandardProjectSettings.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/Sanitizers.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/prepare_version.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/patch_xxhash_min_cmake.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/patch_vectorscan_pkgconfig.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/patch_uchardet_min_cmake.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/patch_type_safe_debug_assert.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/patch_streamvbyte_min_cmake.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/patch_robin_hood_min_cmake.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/patch_karchive_qt6_arg.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/patch_backward_cpp_min_cmake.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/MacOSXBundleInfo.plist.in","CONTAINS",1,"",0
"Folder:cmake","File:cmake/generate_version_h.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/FindxxHash.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/FindUchardet.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/Findtbbmalloc_proxy.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/Findtbb.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/Findrobin_hood.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/Findhyperscan.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/CPM.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/CompilerWarnings.cmake","CONTAINS",1,"",0
"Folder:cmake","File:cmake/CompilerFlags.cmake","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/xxhash_cmake_unofficial_CMakeLists.txt","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/win_gui_mcp_intergration.md","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/vector_hyper_scan_task.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/vectorscan_win_arm64.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/search_patterns.txt","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/preview_reuse_blocks.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/previewer_tabs_and_type_combo.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/previewer_fix_decoding_and_logging.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/previewer_config_import_and_parsing.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/previewer_add_match_stage.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/optimyze_search.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/open_com_port.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/mcp_integration_1.md","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/klogg-incremental-filter-auto-refresh.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/klogg-hybrid-parallel-highlighting-hyperscan-qt.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/github_actions.json","CONTAINS",1,"",0
"Folder:codex_tasks","File:codex_tasks/fix_preview_ehcp_v3.py","CONTAINS",1,"",0
