"Config","Run","ExitCode","Status","Log"
"Release","1","8","FAIL","..\codex_tasks\ctest_Release_run1.log"
"Release","2","0","PASS","..\codex_tasks\ctest_Release_run2.log"
"Release","3","8","FAIL","..\codex_tasks\ctest_Release_run3.log"
"Release","4","8","FAIL","..\codex_tasks\ctest_Release_run4.log"
"Release","5","8","FAIL","..\codex_tasks\ctest_Release_run5.log"
"Release","6","0","PASS","..\codex_tasks\ctest_Release_run6.log"
"Release","7","0","PASS","..\codex_tasks\ctest_Release_run7.log"
"Release","8","0","PASS","..\codex_tasks\ctest_Release_run8.log"
"Release","9","0","PASS","..\codex_tasks\ctest_Release_run9.log"
"Release","10","0","PASS","..\codex_tasks\ctest_Release_run10.log"
"RelWithDebInfo","1","0","PASS","..\codex_tasks\ctest_RelWithDebInfo_run1.log"
"RelWithDebInfo","2","0","PASS","..\codex_tasks\ctest_RelWithDebInfo_run2.log"
"RelWithDebInfo","3","8","FAIL","..\codex_tasks\ctest_RelWithDebInfo_run3.log"
"RelWithDebInfo","4","8","FAIL","..\codex_tasks\ctest_RelWithDebInfo_run4.log"
"RelWithDebInfo","5","0","PASS","..\codex_tasks\ctest_RelWithDebInfo_run5.log"
"RelWithDebInfo","6","0","PASS","..\codex_tasks\ctest_RelWithDebInfo_run6.log"
"RelWithDebInfo","7","0","PASS","..\codex_tasks\ctest_RelWithDebInfo_run7.log"
"RelWithDebInfo","8","0","PASS","..\codex_tasks\ctest_RelWithDebInfo_run8.log"
"RelWithDebInfo","9","0","PASS","..\codex_tasks\ctest_RelWithDebInfo_run9.log"
"RelWithDebInfo","10","8","FAIL","..\codex_tasks\ctest_RelWithDebInfo_run10.log"
